"","tweet","date","isretweet","retweets","score","product","city","country","duplicated"
"94",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 14-23-21,TRUE,6,0,Apple iPhone,LA,USA,TRUE
"95",DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames /5n0ZpeCdnI,2021-06-06 14-23-18,FALSE,6,0,Apple iPhone,LA,USA,FALSE
"96",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 14-19-49,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"97",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 14-15-24,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"98",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 13-54-24,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"99",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 13-52-21,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"100",How Apple's iPhone and Apps Trap You in a Walled Garden /oFKTUOtwDj,2021-06-06 13-46-48,FALSE,0,-1,Apple iPhone,LA,USA,FALSE
"101",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 13-45-10,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"102",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 13-45-10,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"103",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 13-45-10,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"104",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 13-43-46,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"105",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 13-43-34,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"106",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 13-43-20,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"107",DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames /Knzz3r4dVh,2021-06-06 13-43-16,FALSE,8,0,Apple iPhone,LA,USA,FALSE
"108",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 13-05-45,TRUE,2,1,Apple iPhone,LA,USA,TRUE
"109",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 13-05-19,TRUE,2,1,Apple iPhone,LA,USA,TRUE
"110",Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart /qEbYQ1uWAc,2021-06-06 12-53-11,FALSE,2,1,Apple iPhone,LA,USA,FALSE
"111",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 12-45-07,TRUE,4,0,Apple iPhone,LA,USA,TRUE
"112",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 12-33-07,TRUE,4,0,Apple iPhone,LA,USA,TRUE
"113",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 12-32-36,TRUE,4,0,Apple iPhone,LA,USA,TRUE
"114",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 12-31-23,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"115",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 12-29-42,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"116",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 12-27-16,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"117",RT @iDropNews: We're giving away another iPhone 12 Pro Max absolutely free!  Follow the link and earn your chances to win. (ARV: $1,099) h,2021-06-06 12-26-09,TRUE,1374,2,Apple iPhone,LA,USA,TRUE
"118",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 12-17-14,TRUE,4,0,Apple iPhone,LA,USA,TRUE
